,blockNum,penalty,reward,sepDistance,timeLimit,x_position,y_position
88,2,0,1,-44.0,1,0,-100
89,2,-1,1,-32.0,1,100,-100
90,2,-5,1,-32.0,1,-100,0
91,2,-5,1,-44.0,1,-100,-100
92,2,-1,1,-44.0,1,-100,-100
93,2,0,1,32.0,1,100,100
94,2,0,1,-32.0,1,100,0
95,2,-5,1,44.0,1,100,0
96,2,-5,1,-32.0,1,100,100
97,2,0,1,-44.0,1,0,100
98,2,-5,1,44.0,1,-100,-100
99,2,0,1,32.0,1,-100,100
100,2,-1,1,-44.0,1,100,100
101,2,-1,1,44.0,1,0,0
102,2,-5,1,-44.0,1,0,100
103,2,-5,1,32.0,1,100,-100
104,2,-1,1,-32.0,1,100,100
105,2,0,1,44.0,1,0,0
106,2,-1,1,32.0,1,0,-100
107,2,0,1,-32.0,1,100,-100
108,3,-5,1,44.0,1,-100,100
109,3,0,1,-44.0,1,-100,100
110,3,-5,1,32.0,1,0,0
111,3,0,1,44.0,1,0,0
112,3,-5,1,-32.0,1,100,100
113,3,-1,1,32.0,1,-100,100
114,3,-1,1,-32.0,1,-100,0
115,3,0,1,32.0,1,100,-100
116,3,0,1,-32.0,1,0,-100
117,3,-5,1,-44.0,1,-100,0
118,3,-1,1,-44.0,1,0,100
119,3,-1,1,44.0,1,100,-100
120,3,-1,1,-44.0,1,-100,-100
121,3,0,1,44.0,1,-100,-100
122,3,-1,1,-32.0,1,100,0
123,3,-1,1,44.0,1,-100,0
124,3,-5,1,44.0,1,0,0
125,3,0,1,32.0,1,100,100
126,3,-5,1,-32.0,1,-100,100
127,3,-1,1,32.0,1,0,0
128,3,0,1,-44.0,1,0,100
129,3,-5,1,-44.0,1,100,-100
130,3,-5,1,32.0,1,0,-100
131,3,0,1,-32.0,1,0,-100
132,3,-1,1,-32.0,1,-100,-100
133,3,-1,1,32.0,1,-100,100
134,3,-1,1,-44.0,1,0,100
135,3,-1,1,44.0,1,100,-100
136,3,-5,1,-44.0,1,-100,-100
137,3,-5,1,44.0,1,-100,0
138,3,-5,1,-32.0,1,0,100
139,3,-5,1,32.0,1,100,0
140,3,0,1,-44.0,1,100,100
141,3,0,1,44.0,1,100,-100
142,3,0,1,32.0,1,-100,0
143,3,0,1,-32.0,1,-100,100
144,4,-5,1,44.0,1,0,0
145,4,-1,1,-32.0,1,100,0
146,4,-5,1,32.0,1,-100,-100
147,4,0,1,-44.0,1,0,100
148,4,-1,1,-44.0,1,0,-100
149,4,-5,1,-44.0,1,100,-100
150,4,-1,1,44.0,1,100,100
151,4,-1,1,32.0,1,0,0
152,4,0,1,44.0,1,100,0
153,4,0,1,-32.0,1,-100,-100
154,4,0,1,32.0,1,100,100
155,4,-5,1,-32.0,1,0,100
156,4,0,1,44.0,1,0,100
157,4,-5,1,32.0,1,0,-100
158,4,-5,1,44.0,1,100,0
159,4,0,1,-32.0,1,0,0
160,4,-5,1,-32.0,1,-100,0
